MEMID,ED16A
000103017223006,
000103033005001,Higher
000103033005002,Secondary
000103033005003,Primary
000103033005004,Primary
000103033005005,
000103033005006,
000103033005007,
000103033017001,Higher
000103033017002,Higher
000103033017003,
000103033029001,Higher
000103033029002,Higher
000103033029003,
000103033041001,Higher
000103033041002,Secondary
000103033041003,Missing
000103033041004,Missing
000103033041005,
000103033053001,Primary
000103033053002,Primary
000103033053003,Higher
000103033053004,Higher
000103033053005,Higher
000103033053006,Secondary
000103033053007,Primary
000103033053008,
000103033053009,Secondary
000103033065001,Higher
000103033065002,Secondary
000103033065003,Higher
000103033065004,Higher
000103033065005,Secondary
000103033077001,Secondary
000103033077002,Secondary
000103033077003,Primary
000103033077004,
000103033077005,
000103033077006,Higher
000103033089001,Higher
000103033089002,Higher
000103033089003,Primary
000103033089004,Secondary
000103033089005,Primary
000103033089006,Non-formal curriculum
000103033101001,Non-formal curriculum
000103033101002,
000103033101003,Higher
000103033113001,Secondary
000103033113002,Higher
000103033113003,
000103033125001,Higher
000103033125002,Secondary
000103033137001,Primary
000103033137002,Primary
000103033137003,Primary
000103033137004,Primary
000103033137005,Primary
000103033149001,Higher
000103033149002,Higher
000103033149003,Primary
000103033149004,Primary
000103033149005,Primary
000103033149006,Primary
000103033149007,
000103033149008,Primary
000103033161001,
000103033161002,
000103033161003,Secondary
000103033161004,Secondary
000103033161005,Primary
000103033161006,Primary
000103033161007,
000103033161008,
000103033173001,Higher
000103033173002,Higher
000103033173003,
000103033173004,
000103033185001,Secondary
000103033185002,Secondary
000103033185003,
000103033197001,Higher
000103033197002,Secondary
000103033197003,
000103033209001,Secondary
000103033209002,Primary
000103033209003,
000103033209004,
000103033221001,Secondary
000103033221002,Secondary
000103033221003,Primary
000103033221004,Primary
000103033221005,
000103033233001,
000103033233002,Secondary
000103033233003,
000103033245001,Higher
000103033245002,Secondary
000103033245003,Primary
000103033245004,Primary
000103033245005,Primary
000103033257001,Higher
000103033257002,Secondary
000103033257003,Secondary
000103033257004,Primary
000103033269001,Secondary
000103033269002,Primary
000103033269003,Primary
000103033269004,Primary
000103033269005,Missing
000103033281001,Primary
000103033281002,
000103033281003,Higher
000103033281004,Secondary
000103033281005,Secondary
000103033281006,Secondary
000103033293001,Primary
000103033293002,Primary
000103033293003,Primary
000103033293004,Higher
000104005001001,Primary
000104005001002,Secondary
000104005001003,Secondary
000104005001004,Secondary
000104005001005,Secondary
000104005001006,Primary
000104005001007,Primary
000104005015001,Higher
000104005015002,Primary
000104005015003,Secondary
000104005015004,Higher
000104005015005,Secondary
000104005015006,Higher
000104005029001,Higher
000104005029002,Higher
000104005029003,Primary
000104005029004,Higher
000104005029005,Secondary
000104005043001,Higher
000104005043002,Primary
000104005043003,Secondary
000104005043004,Secondary
000104005043005,Higher
000104005043006,Secondary
000104005043007,Higher
000104005057001,Higher
000104005057002,Secondary
000104005057003,Secondary
000104005057004,Primary
000104005057005,
000104005071001,
000104005071002,
000104005085001,Secondary
000104005085002,Secondary
000104005085003,Higher
000104005085004,Higher
000104005099001,Secondary
000104005099002,Higher
000104005099003,Higher
000104005099004,Primary
000104005113001,Secondary
000104005127001,
000104005127002,Higher
000104005127003,Primary
000104005127004,
000104005127005,
000104005141001,
000104005141002,
000104005141003,Primary
000104005141004,Primary
000104005141005,Primary
000104005141006,Secondary
000104005141007,Secondary
000104005141008,Primary
000104005141009,Primary
000104005141010,Primary
000104005141011,Primary
000104005155001,Secondary
000104005155002,Secondary
000104005155003,Secondary
000104005155004,Primary
000104005155005,Primary
000104005183001,Primary
000104005183002,
000104005183003,Secondary
000104005183004,Primary
000104005183005,
000104005197001,Higher
000104005197002,Higher
000104005197003,Primary
000104005197004,Primary
000104005197005,
000104005211001,Primary
000104005211002,Secondary
000104005211003,Primary
000104005211004,Primary
000104005211005,Primary
000104005225001,Higher
000104005225002,Secondary
000104005225003,Primary
000104005225004,
000104005239001,Primary
000104005239002,DK
000104005253001,Primary
000104005253002,
000104005253003,
000104005253004,
000104005267001,
000104005267002,Primary
000104005267003,Higher
000104005281001,Primary
000104005281002,Secondary
000104005281003,Primary
000104005281004,Primary
000104005295001,Higher
000104005295002,Secondary
000104005295003,Higher
000104005295004,Higher
000104005295005,Secondary
000104005295006,Higher
000104005295007,Higher
000104005295008,Higher
000104005309001,Primary
000104005309002,Primary
000104005309003,
000104005309004,Secondary
000104005309005,Secondary
000104005309006,Secondary
000104005309007,Primary
000104005309008,Primary
000104005323001,Higher
000104005323002,Higher
000104005323003,Primary
000104005323004,
000104005337001,Primary
000104005337002,Primary
000104005337003,
000104005337004,
000104021014001,Higher
000104021014002,Higher
000104021014003,
000104021014004,
000104021014005,
000104021029001,Primary
000104021029002,Primary
000104021029003,Higher
000104021029004,Higher
000104021029005,Primary
000104021029006,Primary
000104021029007,Primary
000104021029008,Primary
000104021044001,Primary
000104021044002,Higher
000104021044003,
000104021044004,Primary
000104021044005,Primary
000104021059001,Higher
000104021059002,Higher
000104021059003,Primary
000104021059004,Primary
000104021074001,Secondary
000104021074002,Primary
000104021074003,Primary
000104021074004,Higher
000104021074005,Secondary
000104021074006,Secondary
000104021074007,Secondary
000104021074008,Primary
000104021074009,Primary
000104021074010,
000104021089001,Higher
000104021089002,Secondary
000104021089003,Higher
000104021089004,Secondary
000104021089005,Secondary
000104021089006,Higher
000104021089007,
000104021104001,Higher
000104021104002,Higher
000104021104003,Secondary
000104021104004,Secondary
000104021104005,Primary
000104021104006,Primary
000104021104007,Secondary
000104021104008,Primary
000104021119001,DK
000104021119002,Primary
000104021119003,DK
000104021119004,Secondary
000104021134001,Higher
000104021134002,Higher
000104021134003,Primary
000104021134004,Primary
000104021134005,Higher
000104021149001,Higher
000104021149002,Higher
000104021149003,
000104021149004,Higher
000104021164001,Primary
000104021164002,Secondary
000104021164003,Primary
000104021179001,Higher
000104021179002,Higher
000104021179003,Primary
000104021179004,Primary
000104021179005,
000104021179006,Higher
000104021179007,Secondary
000104021194001,Secondary
000104021194002,
000104021209001,Primary
000104021209002,
000104021209003,Secondary
000104021209004,Higher
000104021209005,Secondary
000104021209006,Higher
000104021209007,
000104021224001,Primary
000104021224002,
000104021224003,Secondary
000104021224004,Primary
000104021224005,Primary
000104021224006,
000104021224007,Primary
000104021254001,Primary
000104021254002,
000104021254003,Higher
000104021254004,Higher
000104021269001,Higher
000104021269002,Non-formal curriculum
000104021269003,Higher
000104021269004,Higher
000104021269005,Primary
000104021269006,Higher
000104021284001,Primary
000104021284002,Secondary
000104021284003,Primary
000104021284004,Primary
000104021299001,Primary
000104021299002,Primary
000104021299003,Secondary
000104021299004,Primary
000104021299005,Primary
000104021299006,Secondary
000104021299007,Primary
000104021312001,Primary
000104021312002,Non-formal curriculum
000104021312003,Higher
000104021312004,Secondary
000104021312005,
000104021312006,Primary
000104021329001,Primary
000104021329002,Higher
000104021329003,Higher
000104021329004,Higher
000104021329005,Higher
000104021359001,Primary
000104021359002,Higher
000104021374001,Primary
000104021374002,Secondary
000104021374003,Primary
000104021374004,Higher
000104039001001,Primary
000104039001002,Primary
000104039001003,Secondary
000104039001004,Secondary
000104039001005,Primary
000104039001006,Higher
000104039001007,Primary
000104039001008,Primary
000104039005001,Primary
000104039005002,Primary
000104039005003,Higher
000104039005004,Primary
000104039005005,Higher
000104039005006,
000104039005007,
000104039005008,Primary
000104039005009,Secondary
000104039005010,DK
000104039005011,
000104039009001,Secondary
000104039009002,Higher
000104039009003,Higher
000104039009004,
000104039009005,Secondary
000104039009006,Primary
000104039009007,
000104039009008,Higher
000104039013001,Primary
000104039013002,Higher
000104039013003,Primary
000104039013004,Primary
000104039017001,Higher
000104039017002,Secondary
000104039017003,Secondary
000104039017004,Secondary
000104039017005,Primary
000104039021001,Primary
000104039021002,Primary
000104039021003,Higher
000104039021004,Primary
000104039021005,Secondary
000104039021006,Secondary
000104039021007,Primary
000104039025001,
000104039025002,Higher
000104039025003,
000104039029001,Primary
000104039029002,Primary
000104039029003,Missing
000104039029004,Primary
000104039029005,Primary
000104039029006,Primary
000104039029007,
000104039029008,
